LOAN_CODE,LOAN_NAME,DEPT_NAME,DEPT_CODE
IL-001,住宅ローン変動型（35年）,個人ローン部,KOJIN01
IL-002,住宅ローン変動型（25年）,個人ローン部,KOJIN01
IL-003,住宅ローン固定特約10年,個人ローン部,KOJIN01
IL-004,住宅ローン全期間固定（フラット35）,個人ローン部,KOJIN01
IL-005,住宅ローン全期間固定（フラット35S）,個人ローン部,KOJIN01
IL-006,リフォームローン,個人ローン部,KOJIN01
IL-007,マイカーローン（新車）,個人ローン部,KOJIN01
IL-008,マイカーローン（中古車）,個人ローン部,KOJIN01
IL-009,教育ローン（在学中元金猶予型）,個人ローン部,KOJIN01
IL-010,教育ローン（卒業後返済型）,個人ローン部,KOJIN01
IL-011,カードローン（プレミアム）,個人ローン部,KOJIN01
IL-012,フリーローン（多目的）,個人ローン部,KOJIN01
IL-013,医療・介護ローン,個人ローン部,KOJIN01
IL-014,ブライダルローン,個人ローン部,KOJIN01
CL-001,短期運転資金ローン（手形貸付）,法人ローン部,HOJIN01
CL-002,短期運転資金ローン（証書貸付）,法人ローン部,HOJIN01
CL-003,長期設備資金ローン（固定金利）,法人ローン部,HOJIN01
CL-004,長期設備資金ローン（変動金利）,法人ローン部,HOJIN01
CL-005,工場・倉庫建設資金ローン,法人ローン部,HOJIN01
CL-006,店舗・オフィス改装ローン,法人ローン部,HOJIN01
CL-007,IT・DX投資ローン,法人ローン部,HOJIN01
CL-008,環境・脱炭素設備ローン,法人ローン部,HOJIN01
CL-009,輸出入決済ローン,法人ローン部,HOJIN01
CL-010,手形割引,法人ローン部,HOJIN01
CL-011,当座貸越,法人ローン部,HOJIN01
CL-012,経営改善ローン,法人ローン部,HOJIN01
CL-013,M&A資金ローン,法人ローン部,HOJIN01
CL-014,コロナ回復支援ローン,法人ローン部,HOJIN01
RE-001,居住用不動産担保ローン,不動産ファイナンス部,FUDOSAN01
RE-002,商業用不動産担保ローン,不動産ファイナンス部,FUDOSAN01
RE-003,収益物件取得ローン（区分マンション）,不動産ファイナンス部,FUDOSAN01
RE-004,収益物件取得ローン（一棟アパート）,不動産ファイナンス部,FUDOSAN01
RE-005,収益物件取得ローン（一棟マンション）,不動産ファイナンス部,FUDOSAN01
RE-006,商業施設開発ローン,不動産ファイナンス部,FUDOSAN01
RE-007,オフィスビル開発ローン,不動産ファイナンス部,FUDOSAN01
RE-008,物流施設開発ローン,不動産ファイナンス部,FUDOSAN01
RE-009,不動産買取・再販ローン,不動産ファイナンス部,FUDOSAN01
RE-010,土地購入ローン,不動産ファイナンス部,FUDOSAN01
RE-011,リノベーション投資ローン,不動産ファイナンス部,FUDOSAN01
RE-012,建売住宅開発ローン,不動産ファイナンス部,FUDOSAN01
RE-013,民泊・ホテル開発ローン,不動産ファイナンス部,FUDOSAN01
RE-014,不動産証券化ブリッジローン,不動産ファイナンス部,FUDOSAN01
SM-001,創業融資（スタンダード）,中小企業支援部,SME01
SM-002,創業融資（女性・若者起業家向け）,中小企業支援部,SME01
SM-003,成長支援融資（売上担保型）,中小企業支援部,SME01
SM-004,成長支援融資（知財担保型）,中小企業支援部,SME01
SM-005,事業承継融資（株式取得）,中小企業支援部,SME01
SM-006,事業承継融資（経営者交代）,中小企業支援部,SME01
SM-007,地方創生ローン,中小企業支援部,SME01
SM-008,農業・食品産業ローン,中小企業支援部,SME01
SM-009,医療・介護事業ローン,中小企業支援部,SME01
SM-010,再生可能エネルギー事業ローン,中小企業支援部,SME01
SM-011,フランチャイズ開業ローン,中小企業支援部,SME01
SM-012,IT・Web事業立ち上げローン,中小企業支援部,SME01
SM-013,輸出入新規取引ローン,中小企業支援部,SME01
