SNAPSHOT_DATE,LOAN_CODE,LOAN_NAME,DEPT_NAME,BALANCE_COUNT,BASE_AMOUNT,BALANCE_AMOUNT,CREDIT_STATUS
2026-02-24,IL-001,住宅ローン変動型（35年）,個人ローン部,4850,30000000,145500000000,正常
2026-02-24,IL-002,住宅ローン変動型（25年）,個人ローン部,3620,25000000,90500000000,正常
2026-02-24,IL-003,住宅ローン固定特約10年,個人ローン部,3240,28000000,90720000000,正常
2026-02-24,IL-004,住宅ローン全期間固定（フラット35）,個人ローン部,2580,30000000,77400000000,正常
2026-02-24,IL-005,住宅ローン全期間固定（フラット35S）,個人ローン部,1920,35000000,67200000000,正常
2026-02-24,IL-006,リフォームローン,個人ローン部,2840,5000000,14200000000,正常
2026-02-24,IL-007,マイカーローン（新車）,個人ローン部,8250,2500000,20625000000,正常
2026-02-24,IL-008,マイカーローン（中古車）,個人ローン部,5810,1500000,8715000000,正常
2026-02-24,IL-009,教育ローン（在学中元金猶予型）,個人ローン部,2450,1000000,2450000000,正常
2026-02-24,IL-010,教育ローン（卒業後返済型）,個人ローン部,1620,1500000,2430000000,正常
2026-02-24,IL-011,カードローン（プレミアム）,個人ローン部,22400,500000,11200000000,正常
2026-02-24,IL-012,フリーローン（多目的）,個人ローン部,12100,1000000,12100000000,正常
2026-02-24,IL-013,医療・介護ローン,個人ローン部,4230,2000000,8460000000,正常
2026-02-24,IL-014,ブライダルローン,個人ローン部,2810,800000,2248000000,正常
2026-02-24,CL-001,短期運転資金ローン（手形貸付）,法人ローン部,8540,10000000,85400000000,正常
2026-02-24,CL-002,短期運転資金ローン（証書貸付）,法人ローン部,5210,20000000,104200000000,正常
2026-02-24,CL-003,長期設備資金ローン（固定金利）,法人ローン部,3820,50000000,191000000000,正常
2026-02-24,CL-004,長期設備資金ローン（変動金利）,法人ローン部,2940,50000000,147000000000,要管理
2026-02-24,CL-005,工場・倉庫建設資金ローン,法人ローン部,820,100000000,82000000000,正常
2026-02-24,CL-006,店舗・オフィス改装ローン,法人ローン部,2310,10000000,23100000000,正常
2026-02-24,CL-007,IT・DX投資ローン,法人ローン部,3520,20000000,70400000000,正常
2026-02-24,CL-008,環境・脱炭素設備ローン,法人ローン部,2140,30000000,64200000000,正常
2026-02-24,CL-009,輸出入決済ローン,法人ローン部,4820,15000000,72300000000,正常
2026-02-24,CL-010,手形割引,法人ローン部,9180,5000000,45900000000,正常
2026-02-24,CL-011,当座貸越,法人ローン部,13520,5000000,67600000000,正常
2026-02-24,CL-012,経営改善ローン,法人ローン部,1230,10000000,12300000000,要管理
2026-02-24,CL-013,M&A資金ローン,法人ローン部,524,200000000,104800000000,正常
2026-02-24,CL-014,コロナ回復支援ローン,法人ローン部,3810,5000000,19050000000,不良
2026-02-24,RE-001,居住用不動産担保ローン,不動産ファイナンス部,3220,20000000,64400000000,正常
2026-02-24,RE-002,商業用不動産担保ローン,不動産ファイナンス部,1840,100000000,184000000000,正常
2026-02-24,RE-003,収益物件取得ローン（区分マンション）,不動産ファイナンス部,4510,30000000,135300000000,正常
2026-02-24,RE-004,収益物件取得ローン（一棟アパート）,不動産ファイナンス部,2140,80000000,171200000000,正常
2026-02-24,RE-005,収益物件取得ローン（一棟マンション）,不動産ファイナンス部,1210,200000000,242000000000,正常
2026-02-24,RE-006,商業施設開発ローン,不動産ファイナンス部,428,500000000,214000000000,正常
2026-02-24,RE-007,オフィスビル開発ローン,不動産ファイナンス部,382,800000000,305600000000,要管理
2026-02-24,RE-008,物流施設開発ローン,不動産ファイナンス部,684,300000000,205200000000,正常
2026-02-24,RE-009,不動産買取・再販ローン,不動産ファイナンス部,1830,50000000,91500000000,正常
2026-02-24,RE-010,土地購入ローン,不動産ファイナンス部,2420,40000000,96800000000,正常
2026-02-24,RE-011,リノベーション投資ローン,不動産ファイナンス部,3210,15000000,48150000000,正常
2026-02-24,RE-012,建売住宅開発ローン,不動産ファイナンス部,1120,100000000,112000000000,正常
2026-02-24,RE-013,民泊・ホテル開発ローン,不動産ファイナンス部,584,200000000,116800000000,不良
2026-02-24,RE-014,不動産証券化ブリッジローン,不動産ファイナンス部,18,1000000000,18000000000,要管理
2026-02-24,SM-001,創業融資（スタンダード）,中小企業支援部,3240,5000000,16200000000,正常
2026-02-24,SM-002,創業融資（女性・若者起業家向け）,中小企業支援部,1820,3000000,5460000000,正常
2026-02-24,SM-003,成長支援融資（売上担保型）,中小企業支援部,2840,20000000,56800000000,正常
2026-02-24,SM-004,成長支援融資（知財担保型）,中小企業支援部,1420,15000000,21300000000,正常
2026-02-24,SM-005,事業承継融資（株式取得）,中小企業支援部,1230,50000000,61500000000,正常
2026-02-24,SM-006,事業承継融資（経営者交代）,中小企業支援部,1120,30000000,33600000000,正常
2026-02-24,SM-007,地方創生ローン,中小企業支援部,1920,10000000,19200000000,正常
2026-02-24,SM-008,農業・食品産業ローン,中小企業支援部,2140,10000000,21400000000,正常
2026-02-24,SM-009,医療・介護事業ローン,中小企業支援部,2650,30000000,79500000000,正常
2026-02-24,SM-010,再生可能エネルギー事業ローン,中小企業支援部,2230,50000000,111500000000,正常
2026-02-24,SM-011,フランチャイズ開業ローン,中小企業支援部,2840,8000000,22720000000,要管理
2026-02-24,SM-012,IT・Web事業立ち上げローン,中小企業支援部,3850,5000000,19250000000,正常
2026-02-24,SM-013,輸出入新規取引ローン,中小企業支援部,2120,10000000,21200000000,正常
